912;-7.87997668;8.81700127;-7.90389247;8.84637301;321.18199524811
917;-7.46582863;8.85026010;-7.44144703;8.81109810;148.39816452979
926;-7.88140834;8.88483185;-7.90258351;8.91962198;328.98219437109
928;-7.23929133;8.88777805;-7.26311994;8.92423527;327.15051830768
936;-7.26296568;8.95678264;-7.24348407;8.92360044;149.88571662884
941;-7.59519042;8.97175694;-7.61470901;9.00492643;329.83534074263
951;-7.35598307;9.01850922;-7.38200412;9.05714198;326.37072368112
991;-7.08387153;9.19130576;-7.10717932;9.22234651;323.45588237589
995;-7.55372281;9.24232287;-7.58410976;9.29073000;328.22236395938
997;-6.95595111;9.22423075;-6.98357783;9.26181076;324.0376211152
1006;-7.78248712;9.25836388;-7.75750884;9.21704234;149.17574701423
1010;-7.56558023;9.28089045;-7.61015604;9.33369326;320.20659142607
1041;-6.96954852;9.42173073;-7.01023253;9.47077708;320.71147878393
1050;-7.72254593;9.51967167;-7.69318278;9.47995635;143.89799173008
1052;-7.32409537;9.52883482;-7.29910575;9.49887835;140.55298575499
1066;-7.56387766;9.56082928;-7.59324558;9.59675655;321.13258023743
1071;-7.92896751;9.57842440;-7.96432883;9.63550506;328.58597080083
1076;-7.58284363;9.60051183;-7.55295533;9.55861386;144.87451066376
1083;-7.63399550;9.65876926;-7.61007636;9.62503635;145.04222311945
1084;-7.95007232;9.64848435;-7.97185041;9.67947836;325.29211802375
1104;-7.02402580;9.73011293;-7.05925055;9.78401118;327.21787328705
1107;-7.48434025;9.74657070;-7.51097002;9.78412105;325.05257566525
1112;-7.79873866;9.76627023;-7.82159830;9.79836191;324.93438953972
1113;-7.05559308;9.75470145;-7.09958728;9.80647749;320.06254750148
1115;-7.18789606;9.75814283;-7.22429541;9.80281412;321.23919496084
1141;-7.85734892;9.90103121;-7.90746972;9.96793565;323.58043458307
1144;-6.99939402;9.91708600;-7.03465410;9.96665052;324.98354320258
1146;-7.57207493;9.94659652;-7.54489682;9.90524855;147.07608151771
1149;-7.40243417;9.94854175;-7.42963179;9.98230449;321.57395739372
1161;-7.53949253;10.01318437;-7.56888077;10.05128814;322.7867679061
1195;-6.70311999;10.12450088;-6.73728383;10.16920394;323.04936588096
1198;-7.50212105;10.16491702;-7.47762982;10.13333978;142.63750654201
1201;-7.21681880;10.17162472;-7.23961410;10.20809066;328.4000182369
1207;-7.23359694;10.20697329;-7.21080849;10.16942225;149.14823881542
1216;-6.68796177;10.25345045;-6.66467955;10.21803818;147.09512797977
1222;-6.66372700;10.27333994;-6.69301108;10.31204942;323.34100045359
1227;-7.40452286;10.30115829;-7.38496607;10.26905598;149.05923405877
1233;-6.65589434;10.29605736;-6.68140929;10.32606473;320.08785602185
1280;-7.29734160;8.95585748;-7.32066670;8.98525815;321.91783430021
1301;-7.05637542;9.02681041;-7.03582422;8.99307226;148.96633736415
1338;-7.19510138;9.10942781;-7.21677077;9.14208164;326.76850458261
1350;-6.92140491;9.15732261;-6.94684670;9.19380636;325.45761645042
1430;-7.61312329;9.41183099;-7.63430097;9.44500890;327.80377888775
1666;-7.22625776;10.14780935;-7.24907669;10.17993528;325.0427027265
