FID; LONGITUDE1(deg); LATITUDE1(deg); LONGITUDE2(deg); LATITUDE2(deg); TETADEG(DEG); LONGEUR(Km)
104; -7.66370270; 9.18523794; -7.61018985; 9.18612107; 89.037974629577; 5.8983948992227
105; -7.74562886; 9.17902087; -7.69917794; 9.18970799; 76.877056291277; 5.2544072070041
106; -6.94199381; 9.18347377; -6.90536795; 9.19302555; 75.198594268443; 4.1800959422068
107; -7.00640921; 9.18220795; -7.07513773; 9.19125928; 277.60433474538; 7.6511184956976
108; -7.40760110; 9.19233706; -7.46493947; 9.18987296; 267.51185966048; 6.3280460636349
109; -7.88811878; 9.18762638; -7.82907867; 9.20751563; 71.152330016544; 6.869066952229
110; -7.79141775; 9.20196544; -7.73301643; 9.19416892; 97.697169845945; 6.4925664125899
111; -7.22079401; 9.21099257; -7.26554018; 9.21555055; 275.89532540116; 4.9617945508365
112; -7.71438838; 9.21146524; -7.66849505; 9.21780921; 82.024461861117; 5.1061550185788
113; -7.45824676; 9.22239514; -7.41776667; 9.23903690; 67.384865083237; 4.8317043817154
114; -7.00997514; 9.22778810; -7.06733951; 9.21996503; 262.13832368433; 6.3900411681645
115; -7.16173277; 9.23022350; -7.20485498; 9.23206881; 272.48590734601; 4.761758841872
116; -7.61712126; 9.22900900; -7.55380907; 9.22116441; 97.14966094841; 7.0326915539516
117; -7.68098802; 9.23575973; -7.62415912; 9.24476992; 80.869752901207; 6.3424371633393
118; -7.26813494; 9.24322860; -7.22936122; 9.24466677; 87.844758038647; 4.2799710251668
119; -7.83714372; 9.24606578; -7.87591148; 9.24890229; 274.24270568544; 4.2819467836087
120; -7.60936132; 9.25827652; -7.55148747; 9.25479210; 93.486148859716; 6.3907932723375
121; -6.99347860; 9.24884924; -6.94490167; 9.24694711; 92.267984571865; 5.365769060195
122; -7.37184789; 9.25022391; -7.31288165; 9.24886645; 91.331399137216; 6.5047335181033
123; -6.81881996; 9.24349107; -6.77890857; 9.25355013; 75.672182957591; 4.5464708602098
124; -7.07373420; 9.24874682; -7.03057160; 9.25447875; 82.333475550951; 4.8056067073808
125; -7.24296528; 9.25395536; -7.28990432; 9.25797959; 274.96826067028; 5.1967652816407
126; -7.81308264; 9.25521098; -7.86601637; 9.26894721; 284.73542373535; 6.0276809082621
127; -7.08627935; 9.25098361; -7.04529117; 9.25835609; 79.668430475331; 4.5967548201837
128; -7.74314530; 9.26365381; -7.70491904; 9.26243251; 91.851018877974; 4.2141888672915
129; -7.35270376; 9.25718879; -7.31230976; 9.25428849; 94.157541869548; 4.4665340346684
130; -6.98627972; 9.26670736; -6.91084766; 9.28200337; 78.383260206069; 8.4980019052207
131; -6.99284959; 9.26348998; -7.03591349; 9.27566139; 285.9838938118; 4.941593679115
132; -7.35425095; 9.27672531; -7.31270032; 9.28683870; 76.142371015855; 4.718395432049
133; -7.29962059; 9.28135200; -7.34383478; 9.28535693; 275.24761228134; 4.8965984132861
134; -7.14782859; 9.27897056; -7.10584674; 9.26735994; 105.65081826171; 4.8086543928195
135; -7.73762952; 9.27882642; -7.69497621; 9.29277995; 71.657124761686; 4.9493701292673
136; -7.80206950; 9.28176098; -7.84903698; 9.28354303; 272.20547832279; 5.1777017673119
137; -7.15933180; 9.27197837; -7.20399763; 9.29336059; 295.88012013677; 5.4712595011568
138; -7.66937319; 9.27478108; -7.62448971; 9.30011109; 60.233442455092; 5.692120738327
139; -7.05771694; 9.28228924; -7.01678607; 9.27881017; 94.919209959715; 4.5335540904929
140; -7.53661490; 9.28565583; -7.49562026; 9.29362338; 78.855507997341; 4.6052527793425
141; -6.95073056; 9.27735296; -7.01352548; 9.27608014; 268.82848127954; 6.9321391831074
142; -7.42358203; 9.28192010; -7.37655778; 9.29472939; 74.565822692543; 5.3773705145496
143; -7.38588391; 9.28554932; -7.33780227; 9.29075371; 83.737012683537; 5.3338481585793
144; -6.91897603; 9.29235554; -6.87201071; 9.29424807; 87.657990172635; 5.1887999380523
145; -7.48142068; 9.29356328; -7.43114296; 9.30094095; 81.538501032884; 5.603727067106
146; -7.32572378; 9.30425918; -7.39066490; 9.31486547; 279.40260691078; 7.2581131492786
147; -7.35031926; 9.30003393; -7.41316948; 9.29001151; 260.82617254014; 7.0197320200636
148; -7.37599166; 9.29906672; -7.41196958; 9.31387607; 292.64458774018; 4.2954790195213
149; -7.77082890; 9.31258186; -7.68006631; 9.33612985; 75.26183733057; 10.337833130972
150; -7.38254009; 9.30018144; -7.43822105; 9.30585454; 275.89904712707; 6.1720488465576
151; -7.75445160; 9.30981213; -7.79164913; 9.29420529; 246.96987850837; 4.4504637123768
152; -7.49556695; 9.30610107; -7.44588864; 9.30100549; 95.929929242767; 5.5063142220569
153; -6.78955061; 9.29754317; -6.83208670; 9.30539669; 280.60050155973; 4.7769194780734
154; -6.85113555; 9.31527398; -6.80969264; 9.30688678; 101.58626396993; 4.6696125693347
155; -6.91664124; 9.31783256; -6.97452180; 9.31762411; 269.79558368668; 6.3888347703454
156; -7.01388189; 9.30971003; -6.97130200; 9.30784309; 92.540574023366; 4.7040334003368
157; -6.85655561; 9.32181464; -6.81620024; 9.31397686; 101.13114255282; 4.5398468407539
158; -6.99692744; 9.31449656; -6.95492504; 9.30720715; 99.970898453685; 4.7062045582693
159; -7.26337708; 9.32240464; -7.30706206; 9.32370001; 271.72472775838; 4.8204861698446
